"geographic_area", "population_size"
"Saline County, Arkansas","123,820"
"Scott County, Arkansas","9,829"
"Searcy County, Arkansas","7,844"
"Sebastian County, Arkansas","127,813"
"Sevier County, Arkansas","15,782"
"Sharp County, Arkansas","17,315"
"Stone County, Arkansas","12,347"
"Union County, Arkansas","38,940"
"Van Buren County, Arkansas","15,797"
"Washington County, Arkansas","246,779"
"White County, Arkansas","76,863"
"Woodruff County, Arkansas","6,221"
"Yell County, Arkansas","20,217"
"Alameda County, California","1,680,614"
"Alpine County, California","1,179"
"Amador County, California","40,584"
"Butte County, California","210,222"
"Calaveras County, California","45,350"
"Colusa County, California","21,868"
"Contra Costa County, California","1,166,165"
"Del Norte County, California","27,616"
"El Dorado County, California","191,250"
"Fresno County, California","1,009,613"
"Glenn County, California","28,889"
"Humboldt County, California","136,324"
"Imperial County, California","179,730"
"Inyo County, California","18,999"
"Kern County, California","906,124"
"Kings County, California","152,797"
"Lake County, California","68,200"
"Lassen County, California","32,319"
"Los Angeles County, California","9,996,634"
"Madera County, California","156,434"
"Marin County, California","261,341"
"Mariposa County, California","17,133"
"Mendocino County, California","91,362"
"Merced County, California","282,963"
"Modoc County, California","8,677"
"Mono County, California","13,225"
"Monterey County, California","440,506"
"Napa County, California","137,465"
"Nevada County, California","102,267"
"Orange County, California","3,186,261"
"Placer County, California","405,951"
"Plumas County, California","19,761"
"Riverside County, California","2,424,663"
"Sacramento County, California","1,586,727"
"San Benito County, California","64,533"
"San Bernardino County, California","2,183,526"
"San Diego County, California","3,301,182"
"San Francisco County, California","874,826"
"San Joaquin County, California","780,676"
"San Luis Obispo County, California","281,924"
"San Mateo County, California","762,727"
"Santa Barbara County, California","448,083"
"Santa Clara County, California","1,924,802"
"Santa Cruz County, California","271,768"
"Shasta County, California","182,190"
"Sierra County, California","3,229"
"Siskiyou County, California","43,999"
"Solano County, California","452,887"
"Sonoma County, California","488,501"
"Stanislaus County, California","553,710"
"Sutter County, California","99,479"
"Tehama County, California","65,690"
"Trinity County, California","16,095"
"Tulare County, California","473,944"
"Tuolumne County, California","55,397"
"Ventura County, California","843,808"
"Yolo County, California","217,768"
"Yuba County, California","82,001"
"Adams County, Colorado","520,517"
"Alamosa County, Colorado","16,375"
"Arapahoe County, Colorado","655,312"
"Archuleta County, Colorado","13,425"
"Baca County, Colorado","3,482"
"Bent County, Colorado","5,480"
"Boulder County, Colorado","330,953"
"Broomfield County, Colorado","74,494"
"Chaffee County, Colorado","19,488"
"Cheyenne County, Colorado","1,746"
"Clear Creek County, Colorado","9,360"
"Conejos County, Colorado","7,451"
"Costilla County, Colorado","3,501"
"Crowley County, Colorado","5,685"
"Custer County, Colorado","4,725"
"Delta County, Colorado","31,056"
"Denver County, Colorado","717,620"
"Dolores County, Colorado","2,331"
"Douglas County, Colorado","360,327"
"Eagle County, Colorado","55,663"
"Elbert County, Colorado","26,207"
"El Paso County, Colorado","733,804"
"Fremont County, Colorado","48,889"
"Garfield County, Colorado","61,803"
"Gilpin County, Colorado","5,817"
"Grand County, Colorado","15,747"
"Gunnison County, Colorado","16,946"
"Hinsdale County, Colorado",787
"Huerfano County, Colorado","6,824"
"Jackson County, Colorado","1,378"
"Jefferson County, Colorado","583,169"
"Kiowa County, Colorado","1,452"
"Kit Carson County, Colorado","7,063"
"Lake County, Colorado","7,413"
"La Plata County, Colorado","55,676"
"Larimer County, Colorado","359,932"
"Las Animas County, Colorado","14,500"
"Lincoln County, Colorado","5,661"
"Logan County, Colorado","21,209"
"Mesa County, Colorado","156,011"
"Mineral County, Colorado",871
"Moffat County, Colorado","13,269"
"Montezuma County, Colorado","25,889"
"Montrose County, Colorado","42,820"
"Morgan County, Colorado","29,082"
