"geographic_area", "population_size"
"Clayton County, Iowa","17,034"
"Clinton County, Iowa","46,432"
"Crawford County, Iowa","16,492"
"Dallas County, Iowa","100,544"
"Davis County, Iowa","9,115"
"Decatur County, Iowa","7,733"
"Delaware County, Iowa","17,454"
"Des Moines County, Iowa","38,856"
"Dickinson County, Iowa","17,773"
"Dubuque County, Iowa","99,310"
"Emmet County, Iowa","9,342"
"Fayette County, Iowa","19,448"
"Floyd County, Iowa","15,593"
"Franklin County, Iowa","9,995"
"Fremont County, Iowa","6,567"
"Greene County, Iowa","8,750"
"Grundy County, Iowa","12,347"
"Guthrie County, Iowa","10,619"
"Hamilton County, Iowa","15,011"
"Hancock County, Iowa","10,758"
"Hardin County, Iowa","16,826"
"Harrison County, Iowa","14,567"
"Henry County, Iowa","20,447"
"Howard County, Iowa","9,497"
"Humboldt County, Iowa","9,597"
"Ida County, Iowa","7,029"
"Iowa County, Iowa","16,653"
"Jackson County, Iowa","19,453"
"Jasper County, Iowa","37,818"
"Jefferson County, Iowa","15,699"
"Johnson County, Iowa","153,052"
"Jones County, Iowa","20,654"
"Keokuk County, Iowa","10,012"
"Kossuth County, Iowa","14,791"
"Lee County, Iowa","33,529"
"Linn County, Iowa","230,433"
"Louisa County, Iowa","10,825"
"Lucas County, Iowa","8,620"
"Lyon County, Iowa","11,923"
"Madison County, Iowa","16,628"
"Mahaska County, Iowa","22,162"
"Marion County, Iowa","33,414"
"Marshall County, Iowa","40,091"
"Mills County, Iowa","14,418"
"Mitchell County, Iowa","10,586"
"Monona County, Iowa","8,742"
"Monroe County, Iowa","7,596"
"Montgomery County, Iowa","10,330"
"Muscatine County, Iowa","43,155"
"O'Brien County, Iowa","14,149"
"Osceola County, Iowa","6,200"
"Page County, Iowa","15,200"
"Palo Alto County, Iowa","8,993"
"Plymouth County, Iowa","25,694"
"Pocahontas County, Iowa","7,068"
"Polk County, Iowa","493,039"
"Pottawattamie County, Iowa","93,655"
"Poweshiek County, Iowa","18,628"
"Ringgold County, Iowa","4,643"
"Sac County, Iowa","9,800"
"Scott County, Iowa","174,617"
"Shelby County, Iowa","11,727"
"Sioux County, Iowa","35,897"
"Story County, Iowa","98,651"
"Tama County, Iowa","17,044"
"Taylor County, Iowa","5,861"
"Union County, Iowa","12,128"
"Van Buren County, Iowa","7,218"
"Wapello County, Iowa","35,327"
"Warren County, Iowa","52,591"
"Washington County, Iowa","22,541"
"Wayne County, Iowa","6,502"
"Webster County, Iowa","36,991"
"Winnebago County, Iowa","10,656"
"Winneshiek County, Iowa","20,051"
"Woodbury County, Iowa","105,952"
"Worth County, Iowa","7,430"
"Wright County, Iowa","12,923"
"Allen County, Kansas","12,537"
"Anderson County, Kansas","7,841"
"Atchison County, Kansas","16,325"
"Barber County, Kansas","4,203"
"Barton County, Kansas","25,426"
"Bourbon County, Kansas","14,333"
"Brown County, Kansas","9,479"
"Butler County, Kansas","67,389"
"Chase County, Kansas","2,575"
"Chautauqua County, Kansas","3,380"
"Cherokee County, Kansas","19,301"
"Cheyenne County, Kansas","2,612"
"Clark County, Kansas","1,977"
"Clay County, Kansas","8,127"
"Cloud County, Kansas","9,018"
"Coffey County, Kansas","8,362"
"Comanche County, Kansas","1,682"
"Cowley County, Kansas","34,535"
"Crawford County, Kansas","38,951"
"Decatur County, Kansas","2,747"
"Dickinson County, Kansas","18,367"
"Doniphan County, Kansas","7,468"
"Douglas County, Kansas","118,787"
"Edwards County, Kansas","2,884"
"Elk County, Kansas","2,472"
"Ellis County, Kansas","28,951"
"Ellsworth County, Kansas","6,371"
"Finney County, Kansas","38,310"
"Ford County, Kansas","34,218"
"Franklin County, Kansas","26,015"
"Geary County, Kansas","36,766"
"Gove County, Kansas","2,716"
"Graham County, Kansas","2,406"
"Grant County, Kansas","7,326"
"Gray County, Kansas","5,640"
"Greeley County, Kansas","1,275"
"Greenwood County, Kansas","5,975"
"Hamilton County, Kansas","2,487"
"Harper County, Kansas","5,467"
"Harvey County, Kansas","33,996"
"Haskell County, Kansas","3,760"
"Hodgeman County, Kansas","1,738"
"Jackson County, Kansas","13,238"
"Jefferson County, Kansas","18,325"
"Jewell County, Kansas","2,929"
"Johnson County, Kansas","611,161"
"Kearny County, Kansas","3,960"
"Kingman County, Kansas","7,420"
"Kiowa County, Kansas","2,453"
"Labette County, Kansas","20,160"
"Lane County, Kansas","1,570"
"Leavenworth County, Kansas","81,961"
"Lincoln County, Kansas","2,946"
"Linn County, Kansas","9,591"
"Logan County, Kansas","2,743"
"Lyon County, Kansas","32,113"
"McPherson County, Kansas","30,184"
"Marion County, Kansas","11,787"
"Marshall County, Kansas","10,022"
"Meade County, Kansas","4,062"
"Miami County, Kansas","34,219"
"Mitchell County, Kansas","5,778"
"Montgomery County, Kansas","31,400"
"Morris County, Kansas","5,370"
"Morton County, Kansas","2,703"
"Nemaha County, Kansas","10,263"
"Neosho County, Kansas","15,905"
"Ness County, Kansas","2,679"
"Norton County, Kansas","5,452"
"Osage County, Kansas","15,740"
"Osborne County, Kansas","3,491"
"Ottawa County, Kansas","5,731"
"Pawnee County, Kansas","6,248"
"Phillips County, Kansas","4,959"
"Pottawatomie County, Kansas","25,421"
"Pratt County, Kansas","9,139"
"Rawlins County, Kansas","2,574"
"Reno County, Kansas","61,894"
"Republic County, Kansas","4,672"
"Rice County, Kansas","9,385"
"Riley County, Kansas","72,011"
"Rooks County, Kansas","4,886"
"Rush County, Kansas","2,944"
"Russell County, Kansas","6,673"
"Saline County, Kansas","54,248"
"Scott County, Kansas","5,133"
"Sedgwick County, Kansas","524,837"
"Seward County, Kansas","21,857"
"Shawnee County, Kansas","178,711"
"Sheridan County, Kansas","2,443"
"Sherman County, Kansas","5,902"
"Smith County, Kansas","3,559"
"Stafford County, Kansas","4,052"
"Stanton County, Kansas","2,085"
"Stevens County, Kansas","5,246"
"Sumner County, Kansas","22,323"
"Thomas County, Kansas","7,933"
"Trego County, Kansas","2,804"
"Wabaunsee County, Kansas","6,890"
"Wallace County, Kansas","1,512"
"Washington County, Kansas","5,526"
"Wichita County, Kansas","2,149"
"Wilson County, Kansas","8,586"
"Woodson County, Kansas","3,099"
"Wyandotte County, Kansas","168,920"
"Adair County, Kentucky","18,881"
"Allen County, Kentucky","20,572"
"Anderson County, Kentucky","23,892"
"Ballard County, Kentucky","7,714"
"Barren County, Kentucky","44,511"
"Bath County, Kentucky","12,717"
"Bell County, Kentucky","23,982"
"Boone County, Kentucky","136,476"
"Bourbon County, Kentucky","20,284"
"Boyd County, Kentucky","48,206"
"Boyle County, Kentucky","30,761"
"Bracken County, Kentucky","8,405"
"Breathitt County, Kentucky","13,701"
"Breckinridge County, Kentucky","20,445"
"Bullitt County, Kentucky","82,364"
"Butler County, Kentucky","12,317"
"Caldwell County, Kentucky","12,636"
"Calloway County, Kentucky","37,601"
"Campbell County, Kentucky","93,134"
"Carlisle County, Kentucky","4,805"
"Carroll County, Kentucky","10,835"
"Carter County, Kentucky","26,614"
"Casey County, Kentucky","15,921"
"Christian County, Kentucky","72,748"
"Clark County, Kentucky","37,047"
"Clay County, Kentucky","20,309"
"Clinton County, Kentucky","9,228"
"Crittenden County, Kentucky","9,003"
"Cumberland County, Kentucky","5,859"
"Daviess County, Kentucky","103,398"
"Edmonson County, Kentucky","12,147"
"Elliott County, Kentucky","7,335"
"Estill County, Kentucky","14,160"
"Fayette County, Kentucky","322,628"
"Fleming County, Kentucky","15,098"
"Floyd County, Kentucky","35,802"
"Franklin County, Kentucky","51,603"
"Fulton County, Kentucky","6,511"
"Gallatin County, Kentucky","8,675"
"Garrard County, Kentucky","16,964"
"Grant County, Kentucky","25,014"
"Graves County, Kentucky","36,530"
"Grayson County, Kentucky","26,456"
"Green County, Kentucky","11,131"
"Greenup County, Kentucky","35,890"
"Hancock County, Kentucky","9,104"
"Hardin County, Kentucky","110,840"
"Harlan County, Kentucky","26,758"
"Harrison County, Kentucky","18,721"
"Hart County, Kentucky","19,296"
"Henderson County, Kentucky","44,673"
"Henry County, Kentucky","15,693"
"Hickman County, Kentucky","4,530"
"Hopkins County, Kentucky","45,365"
"Jackson County, Kentucky","12,968"
"Jefferson County, Kentucky","782,896"
"Jessamine County, Kentucky","53,019"
"Johnson County, Kentucky","22,648"
"Kenton County, Kentucky","169,276"
"Knott County, Kentucky","14,163"
"Knox County, Kentucky","30,185"
"Larue County, Kentucky","14,877"
"Laurel County, Kentucky","62,735"
"Lawrence County, Kentucky","16,302"
"Lee County, Kentucky","7,364"
"Leslie County, Kentucky","10,471"
"Letcher County, Kentucky","21,468"
"Lewis County, Kentucky","13,088"
"Lincoln County, Kentucky","24,248"
"Livingston County, Kentucky","8,872"
"Logan County, Kentucky","27,515"
"Lyon County, Kentucky","8,678"
"McCracken County, Kentucky","67,926"
"McCreary County, Kentucky","16,852"
"McLean County, Kentucky","9,133"
"Madison County, Kentucky","92,990"
"Magoffin County, Kentucky","11,605"
"Marion County, Kentucky","19,594"
"Marshall County, Kentucky","31,688"
"Martin County, Kentucky","11,250"
"Mason County, Kentucky","17,137"
"Meade County, Kentucky","30,028"
"Menifee County, Kentucky","6,142"
"Mercer County, Kentucky","22,652"
"Metcalfe County, Kentucky","10,285"
"Monroe County, Kentucky","11,320"
"Montgomery County, Kentucky","28,105"
"Morgan County, Kentucky","13,732"
"Muhlenberg County, Kentucky","30,897"
"Nelson County, Kentucky","46,779"
"Nicholas County, Kentucky","7,540"
"Ohio County, Kentucky","23,744"
"Oldham County, Kentucky","67,696"
"Owen County, Kentucky","11,302"
"Owsley County, Kentucky","4,032"
"Pendleton County, Kentucky","14,647"
"Perry County, Kentucky","28,369"
"Pike County, Kentucky","58,447"
"Powell County, Kentucky","13,099"
"Pulaski County, Kentucky","65,112"
"Robertson County, Kentucky","2,184"
"Rockcastle County, Kentucky","16,063"
"Rowan County, Kentucky","24,721"
"Russell County, Kentucky","17,997"
"Scott County, Kentucky","57,535"
"Shelby County, Kentucky","48,255"
"Simpson County, Kentucky","19,629"
"Spencer County, Kentucky","19,503"
"Taylor County, Kentucky","25,994"
"Todd County, Kentucky","12,283"
"Trigg County, Kentucky","14,081"
"Trimble County, Kentucky","8,463"
"Union County, Kentucky","13,650"
"Warren County, Kentucky","135,033"
"Washington County, Kentucky","12,038"
"Wayne County, Kentucky","19,543"
"Webster County, Kentucky","13,022"
"Whitley County, Kentucky","36,694"
"Wolfe County, Kentucky","6,557"
"Woodford County, Kentucky","26,907"
"Acadia Parish, Louisiana","57,481"
"Allen Parish, Louisiana","22,688"
"Ascension Parish, Louisiana","126,983"
"Assumption Parish, Louisiana","20,963"
"Avoyelles Parish, Louisiana","39,640"
"Beauregard Parish, Louisiana","36,608"
"Bienville Parish, Louisiana","12,918"
"Bossier Parish, Louisiana","128,759"
"Caddo Parish, Louisiana","236,912"
"Calcasieu Parish, Louisiana","216,493"
"Caldwell Parish, Louisiana","9,616"
"Cameron Parish, Louisiana","5,624"
"Catahoula Parish, Louisiana","8,847"
"Claiborne Parish, Louisiana","14,108"
"Concordia Parish, Louisiana","18,570"
"De Soto Parish, Louisiana","26,851"
"East Baton Rouge Parish, Louisiana","455,916"
"East Carroll Parish, Louisiana","7,394"
"East Feliciana Parish, Louisiana","19,442"
"Evangeline Parish, Louisiana","32,301"
"Franklin Parish, Louisiana","19,714"
"Grant Parish, Louisiana","22,153"
"Iberia Parish, Louisiana","70,064"
"Iberville Parish, Louisiana","30,071"
"Jackson Parish, Louisiana","14,996"
"Jefferson Parish, Louisiana","439,747"
"Jefferson Davis Parish, Louisiana","32,212"
"Lafayette Parish, Louisiana","242,178"
"Lafourche Parish, Louisiana","97,446"
"LaSalle Parish, Louisiana","14,829"
"Lincoln Parish, Louisiana","48,306"
"Livingston Parish, Louisiana","142,846"
"Madison Parish, Louisiana","9,918"
"Morehouse Parish, Louisiana","25,460"
"Natchitoches Parish, Louisiana","37,391"
"Orleans Parish, Louisiana","383,374"
"Ouachita Parish, Louisiana","160,114"
"Plaquemines Parish, Louisiana","23,457"
"Pointe Coupee Parish, Louisiana","20,674"
"Rapides Parish, Louisiana","129,658"
"Red River Parish, Louisiana","7,585"
"Richland Parish, Louisiana","20,030"
"Sabine Parish, Louisiana","22,108"
"St. Bernard Parish, Louisiana","43,859"
"St. Charles Parish, Louisiana","52,516"
"St. Helena Parish, Louisiana","10,900"
"St. James Parish, Louisiana","20,119"
"St. John the Baptist Parish, Louisiana","42,359"
"St. Landry Parish, Louisiana","82,310"
"St. Martin Parish, Louisiana","51,614"
"St. Mary Parish, Louisiana","49,155"
"St. Tammany Parish, Louisiana","265,007"
"Tangipahoa Parish, Louisiana","133,642"
"Tensas Parish, Louisiana","4,108"
"Terrebonne Parish, Louisiana","109,413"
"Union Parish, Louisiana","21,100"
"Vermilion Parish, Louisiana","56,954"
"Vernon Parish, Louisiana","48,624"
"Washington Parish, Louisiana","45,354"
"Webster Parish, Louisiana","36,887"
"West Baton Rouge Parish, Louisiana","27,262"
"West Carroll Parish, Louisiana","9,693"
"West Feliciana Parish, Louisiana","15,262"
"Winn Parish, Louisiana","13,718"
"Androscoggin County, Maine","111,178"
"Aroostook County, Maine","67,053"
"Cumberland County, Maine","303,606"
"Franklin County, Maine","29,468"
"Hancock County, Maine","55,512"
"Kennebec County, Maine","124,723"
"Knox County, Maine","40,663"
"Lincoln County, Maine","35,256"
"Oxford County, Maine","57,892"
"Penobscot County, Maine","152,179"
"Piscataquis County, Maine","16,801"
"Sagadahoc County, Maine","36,730"
"Somerset County, Maine","50,473"
"Waldo County, Maine","39,666"
"Washington County, Maine","31,108"
"York County, Maine","212,263"
"Allegany County, Maryland","67,950"
"Anne Arundel County, Maryland","593,412"
"Baltimore County, Maryland","853,338"
"Calvert County, Maryland","92,921"
"Caroline County, Maryland","33,277"
"Carroll County, Maryland","172,910"
"Cecil County, Maryland","103,805"
"Charles County, Maryland","166,692"
"Dorchester County, Maryland","32,523"
"Frederick County, Maryland","272,787"
"Garrett County, Maryland","28,797"
"Harford County, Maryland","261,245"
"Howard County, Maryland","332,821"
"Kent County, Maryland","19,124"
"Montgomery County, Maryland","1,060,856"
"Prince George's County, Maryland","965,398"
"Queen Anne's County, Maryland","50,033"
"St. Mary's County, Maryland","114,006"
"Somerset County, Maryland","24,567"
"Talbot County, Maryland","37,522"
"Washington County, Maryland","154,677"
"Wicomico County, Maryland","103,563"
"Worcester County, Maryland","52,522"
"Baltimore city, Maryland","583,189"
"Barnstable County, Massachusetts","228,060"
"Berkshire County, Massachusetts","129,812"
"Bristol County, Massachusetts","576,776"
"Dukes County, Massachusetts","20,580"
"Essex County, Massachusetts","807,781"
"Franklin County, Massachusetts","70,934"
"Hampden County, Massachusetts","463,714"
"Hampshire County, Massachusetts","148,589"
"Middlesex County, Massachusetts","1,627,578"
"Nantucket County, Massachusetts","14,239"
"Norfolk County, Massachusetts","723,750"
"Plymouth County, Massachusetts","528,454"
"Suffolk County, Massachusetts","797,239"
"Worcester County, Massachusetts","857,092"
"Alcona County, Michigan","10,185"
"Alger County, Michigan","8,839"
"Allegan County, Michigan","120,661"
"Alpena County, Michigan","28,879"
"Antrim County, Michigan","23,460"
"Arenac County, Michigan","15,009"
"Baraga County, Michigan","8,141"
"Barry County, Michigan","62,607"
"Bay County, Michigan","103,747"
"Benzie County, Michigan","17,993"
"Berrien County, Michigan","154,426"
"Branch County, Michigan","44,878"
"Calhoun County, Michigan","134,219"
"Cass County, Michigan","51,553"
"Charlevoix County, Michigan","26,035"
"Cheboygan County, Michigan","25,585"
"Chippewa County, Michigan","36,787"
"Clare County, Michigan","30,843"
"Clinton County, Michigan","79,171"
"Crawford County, Michigan","12,987"
"Delta County, Michigan","36,874"
"Dickinson County, Michigan","25,907"
"Eaton County, Michigan","109,199"
"Emmet County, Michigan","34,113"
"Genesee County, Michigan","405,793"
"Gladwin County, Michigan","25,370"
"Gogebic County, Michigan","14,346"
"Grand Traverse County, Michigan","95,427"
"Gratiot County, Michigan","41,687"
"Hillsdale County, Michigan","45,730"
"Houghton County, Michigan","37,256"
"Huron County, Michigan","31,372"
"Ingham County, Michigan","285,007"
"Ionia County, Michigan","66,891"
"Iosco County, Michigan","25,189"
"Iron County, Michigan","11,619"
"Isabella County, Michigan","64,521"
"Jackson County, Michigan","160,223"
"Kalamazoo County, Michigan","261,814"
"Kalkaska County, Michigan","17,929"
"Kent County, Michigan","658,524"
"Keweenaw County, Michigan","2,059"
"Lake County, Michigan","12,098"
"Lapeer County, Michigan","88,587"
"Leelanau County, Michigan","22,308"
"Lenawee County, Michigan","99,318"
"Livingston County, Michigan","193,989"
"Luce County, Michigan","6,410"
"Mackinac County, Michigan","10,811"
"Macomb County, Michigan","880,294"
"Manistee County, Michigan","25,070"
"Marquette County, Michigan","66,544"
"Mason County, Michigan","29,037"
"Mecosta County, Michigan","40,426"
"Menominee County, Michigan","23,450"
"Midland County, Michigan","83,493"
"Missaukee County, Michigan","15,067"
"Monroe County, Michigan","154,909"
"Montcalm County, Michigan","66,659"
"Montmorency County, Michigan","9,170"
"Muskegon County, Michigan","174,794"
"Newaygo County, Michigan","50,095"
"Oakland County, Michigan","1,272,526"
"Oceana County, Michigan","26,716"
"Ogemaw County, Michigan","20,785"
"Ontonagon County, Michigan","5,803"
"Osceola County, Michigan","22,902"
"Oscoda County, Michigan","8,235"
"Otsego County, Michigan","25,135"
"Ottawa County, Michigan","296,899"
"Presque Isle County, Michigan","12,999"
"Roscommon County, Michigan","23,465"
"Saginaw County, Michigan","189,883"
"St. Clair County, Michigan","160,394"
"St. Joseph County, Michigan","60,942"
"Sanilac County, Michigan","40,504"
"Schoolcraft County, Michigan","8,057"
"Shiawassee County, Michigan","68,004"
"Tuscola County, Michigan","53,311"
"Van Buren County, Michigan","75,566"
"Washtenaw County, Michigan","371,849"
"Wayne County, Michigan","1,789,655"
"Wexford County, Michigan","33,689"
"Aitkin County, Minnesota","15,714"
"Anoka County, Minnesota","364,502"
"Becker County, Minnesota","35,205"
"Beltrami County, Minnesota","46,246"
"Benton County, Minnesota","41,358"
"Big Stone County, Minnesota","5,160"
"Blue Earth County, Minnesota","69,196"
"Brown County, Minnesota","25,911"
"Carlton County, Minnesota","36,187"
"Carver County, Minnesota","107,307"
"Cass County, Minnesota","30,162"
"Chippewa County, Minnesota","12,610"
"Chisago County, Minnesota","56,718"
"Clay County, Minnesota","65,359"
"Clearwater County, Minnesota","8,566"
"Cook County, Minnesota","5,599"
"Cottonwood County, Minnesota","11,521"
"Crow Wing County, Minnesota","66,285"
"Dakota County, Minnesota","440,436"
"Dodge County, Minnesota","20,888"
"Douglas County, Minnesota","39,093"
"Faribault County, Minnesota","13,896"
"Fillmore County, Minnesota","21,245"
"Freeborn County, Minnesota","30,891"
"Goodhue County, Minnesota","47,579"
"Grant County, Minnesota","6,090"
"Hennepin County, Minnesota","1,281,722"
"Houston County, Minnesota","18,823"
"Hubbard County, Minnesota","21,389"
"Isanti County, Minnesota","41,390"
"Itasca County, Minnesota","45,043"
"Jackson County, Minnesota","9,990"
"Kanabec County, Minnesota","16,058"
"Kandiyohi County, Minnesota","43,723"
"Kittson County, Minnesota","4,190"
"Koochiching County, Minnesota","12,032"
"Lac qui Parle County, Minnesota","6,700"
"Lake County, Minnesota","10,911"
"Lake of the Woods County, Minnesota","3,770"
"Le Sueur County, Minnesota","28,648"
"Lincoln County, Minnesota","5,639"
"Lyon County, Minnesota","25,426"
"McLeod County, Minnesota","36,751"
"Mahnomen County, Minnesota","5,391"
"Marshall County, Minnesota","9,043"
"Martin County, Minnesota","19,993"
"Meeker County, Minnesota","23,433"
"Mille Lacs County, Minnesota","26,456"
"Morrison County, Minnesota","34,003"
"Mower County, Minnesota","40,062"
"Murray County, Minnesota","8,166"
"Nicollet County, Minnesota","34,498"
"Nobles County, Minnesota","22,207"
"Norman County, Minnesota","6,436"
"Olmsted County, Minnesota","163,041"
"Otter Tail County, Minnesota","60,068"
"Pennington County, Minnesota","13,950"
"Pine County, Minnesota","28,891"
"Pipestone County, Minnesota","9,414"
"Polk County, Minnesota","31,081"
"Pope County, Minnesota","11,330"
"Ramsey County, Minnesota","551,739"
"Red Lake County, Minnesota","3,942"
"Redwood County, Minnesota","15,422"
"Renville County, Minnesota","14,686"
"Rice County, Minnesota","67,100"
"Rock County, Minnesota","9,687"
"Roseau County, Minnesota","15,310"
"St. Louis County, Minnesota","200,083"
"Scott County, Minnesota","151,356"
"Sherburne County, Minnesota","97,589"
"Sibley County, Minnesota","14,801"
"Stearns County, Minnesota","158,488"
"Steele County, Minnesota","37,381"
"Stevens County, Minnesota","9,664"
"Swift County, Minnesota","9,816"
"Todd County, Minnesota","25,290"
"Traverse County, Minnesota","3,360"
"Wabasha County, Minnesota","21,399"
"Wadena County, Minnesota","14,120"
"Waseca County, Minnesota","18,955"
"Washington County, Minnesota","268,400"
"Watonwan County, Minnesota","11,238"
"Wilkin County, Minnesota","6,480"
"Winona County, Minnesota","49,672"
"Wright County, Minnesota","141,875"
"Yellow Medicine County, Minnesota","9,490"
"Adams County, Mississippi","29,427"
"Alcorn County, Mississippi","34,732"
"Amite County, Mississippi","12,702"
"Attala County, Mississippi","17,817"
"Benton County, Mississippi","7,669"
"Bolivar County, Mississippi","30,843"
"Calhoun County, Mississippi","13,216"
"Carroll County, Mississippi","9,940"
"Chickasaw County, Mississippi","17,083"
"Choctaw County, Mississippi","8,207"
"Claiborne County, Mississippi","9,096"
"Clarke County, Mississippi","15,547"
"Clay County, Mississippi","18,621"
"Coahoma County, Mississippi","21,228"
"Copiah County, Mississippi","28,271"
"Covington County, Mississippi","18,301"
"DeSoto County, Mississippi","186,129"
"Forrest County, Mississippi","78,212"
"Franklin County, Mississippi","7,661"
"George County, Mississippi","24,367"
"Greene County, Mississippi","13,529"
"Grenada County, Mississippi","21,577"
"Hancock County, Mississippi","46,130"
"Harrison County, Mississippi","208,835"
"Hinds County, Mississippi","226,772"
"Holmes County, Mississippi","16,876"
"Humphreys County, Mississippi","7,735"
"Issaquena County, Mississippi","1,325"
"Itawamba County, Mississippi","23,865"
"Jackson County, Mississippi","143,378"
"Jasper County, Mississippi","16,352"
"Jefferson County, Mississippi","7,245"
"Jefferson Davis County, Mississippi","11,274"
"Jones County, Mississippi","67,173"
"Kemper County, Mississippi","8,962"
"Lafayette County, Mississippi","55,916"
"Lamar County, Mississippi","64,393"
"Lauderdale County, Mississippi","72,676"
"Lawrence County, Mississippi","11,984"
"Leake County, Mississippi","21,250"
"Lee County, Mississippi","83,319"
"Leflore County, Mississippi","28,341"
"Lincoln County, Mississippi","34,844"
"Lowndes County, Mississippi","58,783"
"Madison County, Mississippi","109,252"
"Marion County, Mississippi","24,376"
"Marshall County, Mississippi","33,783"
"Monroe County, Mississippi","34,135"
"Montgomery County, Mississippi","9,793"
"Neshoba County, Mississippi","29,003"
"Newton County, Mississippi","21,254"
"Noxubee County, Mississippi","10,226"
"Oktibbeha County, Mississippi","51,705"
"Panola County, Mississippi","33,170"
"Pearl River County, Mississippi","56,207"
"Perry County, Mississippi","11,459"
"Pike County, Mississippi","40,193"
"Pontotoc County, Mississippi","31,195"
"Prentiss County, Mississippi","24,974"
"Quitman County, Mississippi","6,153"
"Rankin County, Mississippi","157,175"
"Scott County, Mississippi","27,977"
"Sharkey County, Mississippi","3,774"
"Simpson County, Mississippi","25,890"
"Smith County, Mississippi","14,205"
"Stone County, Mississippi","18,329"
"Sunflower County, Mississippi","25,702"
"Tallahatchie County, Mississippi","12,647"
"Tate County, Mississippi","28,119"
"Tippah County, Mississippi","21,737"
"Tishomingo County, Mississippi","18,854"
"Tunica County, Mississippi","9,734"
"Union County, Mississippi","27,814"
"Walthall County, Mississippi","13,873"
"Warren County, Mississippi","44,550"
"Washington County, Mississippi","44,648"
"Wayne County, Mississippi","19,807"
"Webster County, Mississippi","9,904"
"Wilkinson County, Mississippi","8,524"
"Winston County, Mississippi","17,686"
"Yalobusha County, Mississippi","12,436"
"Yazoo County, Mississippi","26,670"
"Adair County, Missouri","25,272"
"Andrew County, Missouri","18,102"
"Atchison County, Missouri","5,305"
"Audrain County, Missouri","24,781"
"Barry County, Missouri","34,542"
"Barton County, Missouri","11,623"
"Bates County, Missouri","16,053"
"Benton County, Missouri","19,425"
"Bollinger County, Missouri","10,555"
"Boone County, Missouri","184,050"
"Buchanan County, Missouri","84,472"
"Butler County, Missouri","42,063"
"Caldwell County, Missouri","8,821"
"Callaway County, Missouri","44,346"
"Camden County, Missouri","42,807"
"Cape Girardeau County, Missouri","81,824"
"Carroll County, Missouri","8,464"
"Carter County, Missouri","5,205"
"Cass County, Missouri","108,162"
"Cedar County, Missouri","14,214"
"Chariton County, Missouri","7,390"
"Christian County, Missouri","89,294"
"Clark County, Missouri","6,658"
"Clay County, Missouri","254,145"
"Clinton County, Missouri","21,218"
"Cole County, Missouri","76,624"
"Cooper County, Missouri","16,647"
"Crawford County, Missouri","23,036"
"Dade County, Missouri","7,586"
"Dallas County, Missouri","17,132"
"Daviess County, Missouri","8,433"
"DeKalb County, Missouri","11,596"
"Dent County, Missouri","14,389"
"Douglas County, Missouri","11,600"
"Dunklin County, Missouri","28,216"
"Franklin County, Missouri","104,867"
"Gasconade County, Missouri","14,763"
"Gentry County, Missouri","6,136"
"Greene County, Missouri","299,332"
"Grundy County, Missouri","9,757"
"Harrison County, Missouri","8,157"
"Henry County, Missouri","21,982"
"Hickory County, Missouri","8,298"
"Holt County, Missouri","4,191"
"Howard County, Missouri","10,157"
"Howell County, Missouri","39,806"
"Iron County, Missouri","9,513"
"Jackson County, Missouri","717,662"
"Jasper County, Missouri","122,896"
"Jefferson County, Missouri","226,947"
"Johnson County, Missouri","54,039"
"Knox County, Missouri","3,739"
"Laclede County, Missouri","36,046"
"Lafayette County, Missouri","33,050"
"Lawrence County, Missouri","37,998"
"Lewis County, Missouri","10,039"
"Lincoln County, Missouri","59,857"
"Linn County, Missouri","11,857"
"Livingston County, Missouri","13,990"
"McDonald County, Missouri","23,278"
"Macon County, Missouri","15,199"
"Madison County, Missouri","12,625"
"Maries County, Missouri","8,451"
"Marion County, Missouri","28,493"
"Mercer County, Missouri","3,512"
"Miller County, Missouri","24,778"
"Mississippi County, Missouri","12,121"
"Moniteau County, Missouri","15,216"
"Monroe County, Missouri","8,693"
"Montgomery County, Missouri","11,286"
"Morgan County, Missouri","21,001"
"New Madrid County, Missouri","16,329"
"Newton County, Missouri","58,699"
"Nodaway County, Missouri","20,999"
"Oregon County, Missouri","8,611"
"Osage County, Missouri","13,255"
"Ozark County, Missouri","8,519"
"Pemiscot County, Missouri","15,589"
"Perry County, Missouri","18,971"
"Pettis County, Missouri","43,004"
"Phelps County, Missouri","44,568"
"Pike County, Missouri","17,413"
"Platte County, Missouri","107,190"
"Polk County, Missouri","31,616"
"Pulaski County, Missouri","54,039"
"Putnam County, Missouri","4,685"
"Ralls County, Missouri","10,354"
"Randolph County, Missouri","24,457"
"Ray County, Missouri","23,135"
"Reynolds County, Missouri","6,079"
"Ripley County, Missouri","10,670"
"St. Charles County, Missouri","406,423"
"St. Clair County, Missouri","9,346"
"Ste. Genevieve County, Missouri","18,478"
"St. Francois County, Missouri","66,446"
"St. Louis County, Missouri","1,003,376"
"Saline County, Missouri","23,339"
"Schuyler County, Missouri","4,010"
"Scotland County, Missouri","4,705"
"Scott County, Missouri","38,022"
"Shannon County, Missouri","7,035"
"Shelby County, Missouri","6,095"
"Stoddard County, Missouri","28,650"
"Stone County, Missouri","31,205"
"Sullivan County, Missouri","5,976"
"Taney County, Missouri","56,064"
"Texas County, Missouri","24,323"
"Vernon County, Missouri","19,675"
"Warren County, Missouri","35,740"
"Washington County, Missouri","23,432"
"Wayne County, Missouri","10,935"
"Webster County, Missouri","39,008"
